Trigger Time: 999.6875 ms
time,x,y,z
130.625,32,-8,-16
130.9375,30,0,-32
131.25,30,0,-26
131.5625,22,18,-30
131.875,18,0,2
132.1875,22,0,-26
132.5,40,0,-20
132.8125,32,-4,-26
133.125,32,0,-20
133.4375,24,2,-36
133.75,30,-8,4
134.0625,48,-8,-20
134.375,32,-6,-4
134.6875,42,0,-22
135,28,-6,0
135.3125,28,-4,-30
135.625,24,0,-32
135.9375,34,-6,-42
136.25,30,-2,-32
136.5625,14,16,-50
136.875,48,-10,-6
137.1875,28,0,-12
137.5,36,-22,-12
137.8125,30,8,-36
138.125,12,0,-30
138.4375,28,-6,-32
138.75,36,-10,-24
139.0625,36,-6,-32
139.375,40,0,-34
139.6875,26,-10,-30
140,18,4,-26
140.3125,18,16,-20
140.625,24,2,-10
140.9375,34,0,-12
141.25,28,0,-36
141.5625,30,-4,-30
141.875,30,-6,-32
142.1875,36,0,-30
142.5,24,0,-36
142.8125,42,4,-18
143.125,30,0,-16
143.4375,30,0,12
143.75,54,-12,-38
144.0625,32,0,-28
144.375,26,-4,-32
144.6875,26,-4,-26
145,30,-2,-30
145.3125,28,0,-38
145.625,28,0,-40
145.9375,40,0,-22
146.25,44,0,-6
146.5625,20,4,-36
146.875,30,-18,-68
147.1875,24,4,-44
147.5,30,0,-30
147.8125,28,6,-26
148.125,30,0,-30
148.4375,32,-10,-24
148.75,40,-8,-22
149.0625,32,-4,-16
149.375,38,2,-32
149.6875,18,8,-54
150,26,0,-20
150.3125,30,-12,-24
150.625,48,-10,-26
150.9375,32,0,-34
151.25,40,0,-46
151.5625,30,0,-24
151.875,26,2,-30
152.1875,34,-4,-26
152.5,34,2,-34
152.8125,42,0,-26
153.125,14,6,-64
153.4375,26,24,-18
153.75,34,-12,-16
154.0625,24,0,-32
154.375,28,-4,-44
154.6875,18,4,-26
155,30,2,-20
155.3125,36,0,-26
155.625,26,0,-34
155.9375,20,-16,-38
156.25,28,-4,-40
156.5625,44,-12,0
156.875,34,0,-32
157.1875,44,-4,-8
157.5,28,0,-26
157.8125,22,10,-28
158.125,24,-8,-32
158.4375,32,-2,-24
158.75,24,-12,-28
159.0625,32,-8,-36
